rank,title,genre,year,score,platform,age_group,gender
1,당신의 맛,드라마,2025,80.0,"coupang, disney, netflix",10대,남성
5,언젠가는 슬기로울 전공의생활,드라마,2025,67.1,"coupang, disney, netflix, tving",10대,남성
6,천국보다 아름다운,드라마,2025,64.0,"coupang, disney, netflix",10대,남성
8,귀궁,드라마,2025,75.7,"coupang, disney, netflix, wavve",10대,남성
12,약한영웅 Class 1,드라마,2022,95.3,"coupang, disney, netflix, wavve",10대,남성
14,폭싹 속았수다,드라마,2025,97.0,"coupang, disney, netflix",10대,남성
17,승부,영화,2025,94.7,"coupang, disney, netflix",10대,남성
19,하트페어링,예능,2025,85.7,"coupang, disney, netflix, tving, wavve",10대,남성
20,태어난 김에 세계일주4,예능,2025,83.3,"coupang, disney, netflix, wavve",10대,남성
21,데블스 플랜,예능,2023,88.0,"coupang, disney, netflix",10대,남성
22,슬기로운 의사생활 시즌 1,드라마,2020,95.5,"coupang, disney, netflix, tving",10대,남성
23,임영웅│아임 히어로 더 스타디움,"영화, 공연",2024,26.9,"coupang, disney, netflix, watcha, wavve",10대,남성
25,약한영웅 Class 2,드라마,2025,73.6,"coupang, disney, netflix",10대,남성
26,진격의 거인 The Final Season 완결편 (전편),애니메이션,2023,98.4,"coupang, disney, netflix, tving, watcha, wavve",10대,남성
28,슬기로운 의사생활 시즌 2,드라마,2021,89.4,"coupang, disney, netflix, tving",10대,남성
34,데블스 플랜: 데스룸,예능,2025,95.2,"coupang, disney, netflix",10대,남성
35,이혼숙려캠프,예능,2024,73.7,"coupang, disney, netflix, tving",10대,남성
36,미션 임파서블: 데드 레코닝,영화,2023,95.4,"coupang, disney, netflix",10대,남성
39,노트북,영화,2004,90.8,"coupang, disney, netflix, wavve",10대,남성
44,레디 오어 낫,영화,2019,83.7,"coupang, disney, netflix",10대,남성
52,더 글로리 파트 2,드라마,2023,96.9,"coupang, disney, netflix",10대,남성
61,중증외상센터,드라마,2025,96.9,"coupang, disney, netflix",10대,남성
67,태어난 김에 세계일주 3,예능,2023,92.6,"coupang, disney, netflix, wavve",10대,남성
89,악마를 보았다,영화,2010,86.9,"coupang, disney, netflix, tving, watcha, wavve",10대,남성
91,오징어 게임 시즌 2,드라마,2024,77.5,"coupang, disney, netflix",10대,남성
92,높은 풀 속에서,영화,2019,42.7,"coupang, disney, netflix",10대,남성
94,엑스테리토리얼,영화,2025,48.0,"coupang, disney, netflix",10대,남성
37,신병 시즌 3,드라마,2025,95.9,"coupang, disney, tving",10대,남성
43,바니와 오빠들,드라마,2025,60.0,"coupang, disney, tving, wavve",10대,남성
