title,year,genre,genre_detail,director,runtime,platform,production,rating,broadcast_period,episodes,cast,country,language
당신의 맛,2025,드라마,"로맨틱 코미디, 성장, 요리",박단희,,"Genie TV, Netflix",쇼트케이크,,2025년 5월 12일 ~ 2025년 6월 10일,10부작,"강하늘, 고민시, 김신록, 유수빈",대한민국,한국어
언젠가는 슬기로울 전공의생활,2025,드라마,"의학, 성장, 청춘, 일상, 코미디, 휴먼, 로맨스",이민수,,"TVING, Netflix",에그이즈커밍,,2025년 4월 12일 ~ 2025년 5월 18일,12부작,"고윤정, 신시아, 한예지, 강유석, 정준원",대한민국,한국어
천국보다 아름다운,2025,드라마,"휴먼, 가족, 블랙코미디, 로맨스, 판타지, 추리",김석윤,,Netflix,"스튜디오 피닉스, SLL",,2025년 4월 19일 ~ 2025년 5월 25일,12부작,"김혜자, 손석구, 한지민, 이정은, 천호진, 류덕환",대한민국,한국어
귀궁,2025,드라마,"가상역사극, 판타지, 로맨틱 코미디, 퇴마, 액션, 호러","윤성식, 김지연",,"Wavve, Netflix","아이윌미디어, 스튜디오S",,2025년 4월 18일 ~ 2025년 6월 7일,16부작,"육성재, 김지연, 김지훈",대한민국,한국어
약한영웅 Class 1,2022,드라마,"학원액션, 드라마, 범죄, 스릴러, 느와르, 성장, 하이틴, 복수, 사회고발",유수민,,"Wavve, Netflix","플레이리스트, 쇼트케이크",,2023년 2월 17일 ~ 2023년 3월 10일,8부작,"박지훈, 최현욱, 홍경, 신승호, 이연",대한민국,한국어
폭싹 속았수다,2025,드라마,"로맨스, 시대극, 드라마, 휴먼, 가족, 청춘",김원석,,Netflix,"팬엔터테인먼트, 바람픽쳐스",,2025년 3월 7일 ~ 2025년 3월 28일,16부작,"아이유, 박보검, 문소리, 박해준",대한민국,한국어
승부,2025,영화,"드라마, 스포츠, 시대극",김형주,115분,Netflix,"영화사월광, BH엔터테인먼트",,,,"이병헌, 유아인",대한민국,한국어
하트페어링,2025,예능,짝짓기 예능,박철환,,"Wavve, TVING, coupang play, Netflix",,,2025년 3월 7일 ~ 2025년 6월 20일,15부작,"윤종신, 이청아, 최시원, 미미",대한민국,한국어
태어난 김에 세계일주4,2025,예능,여행 버라이어티,김지우,,"Wavve, Netflix",,,2025년 5월 11일 ~ 2025년 6월 29일,8부작,"기안84, 빠니보틀, 덱스, 이시언",대한민국,한국어
데블스 플랜,2023,예능,"두뇌 게임, 서바이벌, 리얼 버라이어티",정종연,,Netflix,TEO,,2023년 9월 26일 ~ 2023년 10월 10일,12부작,"박경림, 기욤, 하석진, 궤도, 서동주, 이시원, 조연우, 곽준빈, 이혜성, 서유민, 승관, 김동재",대한민국,한국어
슬기로운 의사생활 시즌 1,2020,드라마,"드라마, 의학, 성장, 일상, 휴먼, 코미디, 음악, 로맨스",신원호,,"TVING, Netflix",에그이즈커밍,,2020년 3월 12일 ~ 2020년 5월 28일,12부작,"조정석, 유연석, 정경호, 김대명, 전미도",대한민국,한국어
아임 히어로 더 스타디움,2024,"영화, 공연",다큐멘터리,오윤동,102분,"Netflix, Apple TV+",CJ 4DPLEX,,,,임영웅,대한민국,한국어
약한영웅 Class 2,2025,드라마,"학원액션, 드라마, 범죄, 스릴러, 느와르, 성장, 하이틴, 복수, 사회고발",유수민,,Netflix,"쇼트케이크, 플레이리스트, 재담미디어",,,8부작,"박지훈, 려운, 최민영, 이준영, 유수빈, 배나라, 이민재",대한민국,한국어
진격의 거인 The Final Season 완결편 (전편),2023,애니메이션,"다크 판타지, 액션, 전쟁, 애니메이션",하야시 유이치로,61분,"Netflix, WATCHA, TVING, Wavve, LAFTEL",MAPPA,,,,"카지 유우키, 이시카와 유이, 이노우에 마리나, 카미야 히로시",일본,일본어
슬기로운 의사생활 시즌 2,2021,드라마,"드라마, 성장, 의학, 휴먼, 코미디, 음악, 로맨스",신원호,,"TVING, Netflix",에그이즈커밍,,2021년 6월 17일 ~ 2021년 9월 16일,12부작,"조정석, 유연석, 정경호, 김대명, 전미도",대한민국,한국어
데블스 플랜: 데스룸,2025,예능,"두뇌 게임, 서바이벌, 리얼 버라이어티",정종연,,Netflix,TEO,,2025년 5월 6일 ~ 2025년 5월 20일,12부작,"이세돌, 저스틴 H. 민, 규현, 강지영, 윤소희, 세븐하이, 이승현, 정현규, 최현준, 츄, 김하린, 박상연, 손은유, 티노",대한민국,한국어
이혼숙려캠프,2024,예능,부부 관찰 리얼리티,김민종,,"TVING, Netflix",카카오엔터테인먼트,,방영 중,,"서장훈, 박하선, 진태현, 이호선",대한민국,한국어
미션 임파서블: 데드 레코닝,2023,영화,"첩보, 액션, 스릴러, 서스펜스, SF",크리스토퍼 맥쿼리,163분,"Wavve, Apple TV+, U+모바일tv, Netflix","TC 프로덕션, 스카이댄스 미디어",,,,"톰 크루즈, 레베카 페르구손, 헤일리 앳웰",미국,영어
노트북,2004,영화,"멜로, 로맨스",닉 카사베츠,124분,"Netflix, coupang play",그란 비아,,,,"라이언 고슬링, 레이첼 맥아담스, 제임스 가너, 제나 로우랜즈, 샘 셰퍼드, 조안 알렌",미국,영어
레디 오어 낫,2019,영화,"미스터리, 공포, 코미디, 스릴러",맷 베티넬리 올핀,95분,"Disney+, TVING, Wavve, Netflix","폭스 서치라이트 픽처스, 미쌀러지 엔터테인먼트, 빈슨 필름",,,,"사마라 위빙, 애덤 브로디, 마크 오브라이언, 헨리 처니, 앤디 맥도웰",미국,영어
더 글로리 파트 2,2023,드라마,"느와르, 드라마, 미스터리, 범죄, 복수, 사회 고발, 서스펜스, 스릴러, 피카레스크, 휴먼",안길호,,Netflix,"화앤담픽쳐스, 스튜디오드래곤",,,8부작,"송혜교, 이도현, 임지연, 염혜란, 박성훈, 정성일, 김히어라, 차주영, 김건우",대한민국,한국어
중증외상센터,2025,드라마,"의학, 드라마, 코미디, 휴먼, 액션, 스릴러, 사회고발",이도윤,,Netflix,"스튜디오N, 메이스엔터테인먼트",,,8부작,"주지훈, 추영우, 하영, 윤경호, 정재광",대한민국,한국어
태어난 김에 세계일주 3,2023,예능,여행 버라이어티,김지우,,"Wavve, Netflix",,,2023년 11월 26일 ~ 2024년 2월 4일,10부작,"기안84, 빠니보틀, 덱스, 이시언",대한민국,한국어
악마를 보았다,2010,영화,"범죄, 스릴러, 액션, 복수, 공포, 고어, 피카레스크, 드라마",김지운,144분,"Netflix, Wavve, WATCHA, BFLIX","페퍼민트앤컴퍼니, 씨즈엔터테인먼트",,,,"이병헌, 최민식",대한민국,한국어
오징어 게임 시즌 2,2024,드라마,"데스 게임, 스릴러, 고어, 액션, 미스터리, 서스펜스, 범죄, 드라마, 블랙 코미디, 서바이벌, 군상극, 사회고발",황동혁,,Netflix,퍼스트맨스튜디오,,,7부작,"이정재, 이병헌, 임시완, 강하늘, 위하준, 박규영, 이진욱, 박성훈, 양동근, 강애심, 이서환, 채국희, 이다윗, 노재원, 조유리, 최승현, 원지안, 전석호, 송영창",대한민국,한국어
높은 풀 속에서,2019,영화,"스릴러, 호러, 미스터리",빈센조 나탈리,90분,Netflix,코퍼허트 엔터테인먼트,,,,"레이슬라 드 올리베이라, 아베리 휘티드, 패트릭 윌슨, 윌 부이 주니어",캐나다,영어
엑스테리토리얼,2025,영화,"액션, 미스테리, 스릴러",크리스찬 주버트,109분,Netflix,Netflix,,,,"잔느 거소드, 레라 아보바, 두그레이 스콧, 아나벨 만뎅",미국,영어
신병 시즌 3,2025,드라마,"블랙 코미디, 밀리터리, 사회고발",민진기,,"Genie TV, TVING","A22 엔터테인먼트, 스토리아일랜드",,2025년 4월 7일 ~ 2025년 4월 29일,16부작,"김민호, 김동준, 오대환, 남태우, 남민우, 이상진, 김요한, 조진세, 이충구, 전승훈, 이수지, 강효승, 이정현, 김현규",대한민국,한국어
